"","1","I","2","I","I","3","I","4","6","7","I","I","I","I","I","I","I","I","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"D1","A","B","A","B","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B"
"D2","A","B","B","B","A","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B"
"D3","A","B","A","B","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B"
"D4","A","B","A","B","-","B","-","B","B","A","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"D5","A","B","A","A","B","B","-","B","B","A","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","E","A","B"
"D6","A","B","B","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B"
"D7","A","A","A","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"D8","A","-","B","-","-","B","-","B","B","A","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","E","A","B","A","B"
"D9","A","A","B","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"D10","A","A","B","B","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","E","A","B"
"S1","-","-","-","-","-","B","-","B","B","A","A","B","A","B","A","B","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S2","A","B","A","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S3","-","-","B","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"S4","B","-","A","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"S5","A","-","B","-","-","B","-","B","B","A","A","B","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S6","A","B","B","-","-","B","-","B","B","A","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","B","A","B","A","B","A","B"
"S7","A","A","A","-","-","B","A","A","B","A","B","A","B","A","B","A","B","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S8","A","A","A","-","-","B","-","B","B","A","A","B","A","B","-","-","-","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S9","A","-","-","-","-","B","-","B","B","A","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
"S10","-","-","-","-","-","B","-","B","B","A","B","B","A","A","B","A","B","-","A","B","A","B","A","B","A","B","A","B","A","B","A","B"
